model,N,M,alg,workers,mstime,delete,trimrepeat,trimdelete,traveledge,sccs,maxscc,size1,size2,size3,parstep,push,vs,es,date
twitter,41354195,1440030213,ac4trim,10,509.058,4157028,-1,4157028,9939653,0,0,0,0,0,4096,293,100,100,2021-06-03.03:37:55
twitter_mpi,52579683,1963263821,ac4trim,10,367.617,9213375,-1,9213375,7570607,0,0,0,0,0,4096,15219,100,100,2021-06-03.03:39:34
wiki-link-en,12150977,378142420,ac4trim,10,14.169,37099,-1,37099,36583,0,0,0,0,0,4096,33,100,100,2021-06-03.03:39:47
com-friendster,124836180,1806067135,fasttrim,12,40649.028,124836180,-1,124836180,1810272462,0,0,0,0,0,4096,608,100,100,2021-06-03.03:42:18
twitter,41354195,1440030213,fasttrim,12,1253.074,4157028,-1,4157028,4114031,0,0,0,0,0,4096,287,100,100,2021-06-03.03:43:29
twitter_mpi,52579683,1963263821,fasttrim,12,1755.305,9213375,-1,9213375,4654571,0,0,0,0,0,4096,327,100,100,2021-06-03.03:45:08
wiki-link-en,12150977,378142420,fasttrim,12,347.367,37099,-1,37099,1060949,0,0,0,0,0,4096,6,100,100,2021-06-03.03:45:20
com-friendster,124836180,1806067135,trim,12,1197901.934,124836180,12007,124836180,14029388605,0,0,0,0,0,4096,-1,100,100,2021-06-03.04:07:08
twitter,41354195,1440030213,trim,12,806.932,4157028,6,4157028,23199265,0,0,0,0,0,4096,-1,100,100,2021-06-03.04:08:23
twitter_mpi,52579683,1963263821,trim,12,1101.265,9213375,7,9213375,32057378,0,0,0,0,0,4096,-1,100,100,2021-06-03.04:10:00
wiki-link-en,12150977,378142420,trim,12,218.119,37099,4,37099,4350772,0,0,0,0,0,4096,-1,100,100,2021-06-03.04:10:14
com-friendster,124836180,1806067135,ac4trim,12,59443.534,124836180,-1,124836180,1697344674,0,0,0,0,0,4096,681,100,100,2021-06-03.04:13:03
twitter,41354195,1440030213,ac4trim,12,494.824,4157028,-1,4157028,8232433,0,0,0,0,0,4096,293,100,100,2021-06-03.04:14:17
twitter_mpi,52579683,1963263821,ac4trim,12,345.936,9213375,-1,9213375,6222815,0,0,0,0,0,4096,15218,100,100,2021-06-03.04:15:56
wiki-link-en,12150977,378142420,ac4trim,12,26.935,37099,-1,37099,37990,0,0,0,0,0,4096,33,100,100,2021-06-03.04:16:09
com-friendster,124836180,1806067135,fasttrim,14,59274.76,124836180,-1,124836180,1805803539,0,0,0,0,0,4096,667,100,100,2021-06-03.04:18:58
twitter,41354195,1440030213,fasttrim,14,1274.59,4157028,-1,4157028,3573421,0,0,0,0,0,4096,287,100,100,2021-06-03.04:20:13
twitter_mpi,52579683,1963263821,fasttrim,14,1884.17,9213375,-1,9213375,4235346,0,0,0,0,0,4096,327,100,100,2021-06-03.04:21:53
wiki-link-en,12150977,378142420,fasttrim,14,379.365,37099,-1,37099,933985,0,0,0,0,0,4096,6,100,100,2021-06-03.04:22:07
com-friendster,124836180,1806067135,trim,14,1183326.735,124836180,11919,124836180,11671634826,0,0,0,0,0,4096,-1,100,100,2021-06-03.04:43:40
twitter,41354195,1440030213,trim,14,828.133,4157028,6,4157028,18948324,0,0,0,0,0,4096,-1,100,100,2021-06-03.04:44:52
twitter_mpi,52579683,1963263821,trim,14,1157.907,9213375,7,9213375,25689671,0,0,0,0,0,4096,-1,100,100,2021-06-03.04:46:29
wiki-link-en,12150977,378142420,trim,14,205.276,37099,4,37099,3870492,0,0,0,0,0,4096,-1,100,100,2021-06-03.04:46:43
com-friendster,124836180,1806067135,ac4trim,14,60354.722,124836180,-1,124836180,1696050932,0,0,0,0,0,4096,681,100,100,2021-06-03.04:49:27
twitter,41354195,1440030213,ac4trim,14,496.474,4157028,-1,4157028,7143958,0,0,0,0,0,4096,293,100,100,2021-06-03.04:50:42
twitter_mpi,52579683,1963263821,ac4trim,14,340.17,9213375,-1,9213375,5303118,0,0,0,0,0,4096,15218,100,100,2021-06-03.04:52:20
wiki-link-en,12150977,378142420,ac4trim,14,15.078,37099,-1,37099,34031,0,0,0,0,0,4096,33,100,100,2021-06-03.04:52:34
com-friendster,124836180,1806067135,fasttrim,16,58218.954,124836180,-1,124836180,1804753690,0,0,0,0,0,4096,684,100,100,2021-06-03.04:55:22
twitter,41354195,1440030213,fasttrim,16,1256.723,4157028,-1,4157028,2874567,0,0,0,0,0,4096,287,100,100,2021-06-03.04:56:36
twitter_mpi,52579683,1963263821,fasttrim,16,1900.232,9213375,-1,9213375,3966429,0,0,0,0,0,4096,327,100,100,2021-06-03.04:58:16
wiki-link-en,12150977,378142420,fasttrim,16,360.38,37099,-1,37099,892993,0,0,0,0,0,4096,6,100,100,2021-06-03.04:58:29
com-friendster,124836180,1806067135,trim,16,1131332.365,124836180,11858,124836180,9872899120,0,0,0,0,0,4096,-1,100,100,2021-06-03.05:19:11
twitter,41354195,1440030213,trim,16,862.762,4157028,6,4157028,16374658,0,0,0,0,0,4096,-1,100,100,2021-06-03.05:20:24
